variavel,codigo,rotulo,confianca,observacao
faixa_remun_dez_sm,11,"Mais de 20,00 SM",alta,
faixa_remun_dez_sm,99,Ignorado,alta,
faixa_remun_dez_sm,-1,Ignorado,alta,
tamanho_estab,1,Zero vínculo,alta,
tamanho_estab,2,De 1 a 4 vínculos,alta,
tamanho_estab,3,De 5 a 9,alta,
tamanho_estab,4,De 10 a 19,alta,
tamanho_estab,5,De 20 a 49,alta,
tamanho_estab,6,De 50 a 99,alta,
tamanho_estab,7,De 100 a 249,alta,
tamanho_estab,8,De 250 a 499,alta,
tamanho_estab,9,De 500 a 999,alta,
tamanho_estab,10,1000 ou mais vínculos,alta,
tamanho_estab,-1,Ignorado,alta,
ibge_subsetor,1,Extrativa mineral,alta,
ibge_subsetor,2,Indústria de produtos minerais não metálicos,alta,
ibge_subsetor,3,Indústria metalúrgica,alta,
ibge_subsetor,4,Indústria mecânica,alta,
ibge_subsetor,5,Indústria do material elétrico e de comunicações,alta,
ibge_subsetor,6,Indústria do material de transporte,alta,
ibge_subsetor,7,Indústria da madeira e do mobiliário,alta,
ibge_subsetor,8,"Indústria do papel, papelão, editorial e gráfica",alta,
ibge_subsetor,9,"Indústria da borracha, fumo, couros e indústrias diversas",alta,
ibge_subsetor,10,"Indústria química, de produtos farmacêuticos e perfumaria",alta,
ibge_subsetor,11,"Indústria têxtil, do vestuário e artefatos de tecidos",alta,
ibge_subsetor,12,Indústria de calçados,alta,
ibge_subsetor,13,"Indústria de produtos alimentícios, bebidas e álcool etílico",alta,
ibge_subsetor,14,Serviços industriais de utilidade pública,alta,
ibge_subsetor,15,Construção civil,alta,
ibge_subsetor,16,Comércio varejista,alta,
ibge_subsetor,17,Comércio atacadista,alta,
ibge_subsetor,18,"Instituições de crédito, seguros e capitalização",alta,
ibge_subsetor,19,"Administração de imóveis, valores mobiliários e serviços técnicos",alta,
ibge_subsetor,20,Transportes e comunicações,alta,
ibge_subsetor,21,"Serviços de alojamento, alimentação, reparação e manutenção",alta,
ibge_subsetor,22,"Serviços médicos, odontológicos e veterinários",alta,
ibge_subsetor,23,Ensino,alta,
ibge_subsetor,24,Administração pública direta e autárquica,alta,
ibge_subsetor,25,"Agricultura, silvicultura, criação de animais e extrativismo vegetal",alta,
ibge_subsetor,-1,Ignorado,alta,
cbo_grande_grupo,0,"Forças armadas, policiais e bombeiros militares",alta,
cbo_grande_grupo,1,"Membros superiores do poder público, dirigentes e gerentes",alta,
cbo_grande_grupo,2,Profissionais das ciências e das artes,alta,
cbo_grande_grupo,3,Técnicos de nível médio,alta,
cbo_grande_grupo,4,Trabalhadores de serviços administrativos,alta,
cbo_grande_grupo,5,"Trabalhadores dos serviços, vendedores do comércio",alta,
cbo_grande_grupo,6,"Trabalhadores agropecuários, florestais e da pesca",alta,
cbo_grande_grupo,7,Trabalhadores da produção de bens e serviços industriais,alta,
cbo_grande_grupo,8,Trabalhadores da produção de bens e serviços industriais (contínuos),alta,
cbo_grande_grupo,9,Trabalhadores de manutenção e reparação,alta,
natureza_juridica_grupo,1,Administração pública,alta,
natureza_juridica_grupo,2,Entidades empresariais,alta,
natureza_juridica_grupo,3,Entidades sem fins lucrativos,alta,
natureza_juridica_grupo,4,Pessoas físicas,alta,
natureza_juridica_grupo,5,Organizações internacionais e outras instituições extraterritoriais,alta,
ind_simples,0,Não optante pelo Simples,conferir,
ind_simples,1,Optante pelo Simples,conferir,
ind_simples,-1,Ignorado,conferir,
tipo_vinculo,10,"CLT urbano, empregador PJ, prazo indeterminado",conferir,Conferir rótulos no layout oficial do MTE
tipo_vinculo,15,"CLT urbano, empregador PF, prazo indeterminado",conferir,Conferir rótulos no layout oficial do MTE
tipo_vinculo,20,"CLT rural, empregador PJ, prazo indeterminado",conferir,Conferir rótulos no layout oficial do MTE
tipo_vinculo,25,"CLT rural, empregador PF, prazo indeterminado",conferir,Conferir rótulos no layout oficial do MTE
tipo_vinculo,30,Estatutário,conferir,Conferir rótulos no layout oficial do MTE
tipo_vinculo,31,Estatutário RGPS,conferir,Conferir rótulos no layout oficial do MTE
tipo_vinculo,35,Estatutário não efetivo,conferir,Conferir rótulos no layout oficial do MTE
tipo_vinculo,40,Avulso,conferir,Conferir rótulos no layout oficial do MTE
tipo_vinculo,50,Temporário (Lei 6.019/74),conferir,Conferir rótulos no layout oficial do MTE
tipo_vinculo,55,Aprendiz,conferir,Conferir rótulos no layout oficial do MTE
tipo_vinculo,60,"CLT urbano, empregador PJ, prazo determinado",conferir,Conferir rótulos no layout oficial do MTE
tipo_vinculo,65,"CLT urbano, empregador PF, prazo determinado",conferir,Conferir rótulos no layout oficial do MTE
tipo_vinculo,70,"CLT rural, empregador PJ, prazo determinado",conferir,Conferir rótulos no layout oficial do MTE
tipo_vinculo,75,"CLT rural, empregador PF, prazo determinado",conferir,Conferir rótulos no layout oficial do MTE
tipo_vinculo,80,Diretor,conferir,Conferir rótulos no layout oficial do MTE
tipo_vinculo,90,Contrato prazo determinado (Lei 9.601/98),conferir,Conferir rótulos no layout oficial do MTE
tipo_vinculo,95,Contrato temporário (Lei 8.745/93),conferir,Conferir rótulos no layout oficial do MTE
tipo_vinculo,96,Contrato prazo determinado - lei estadual,conferir,Conferir rótulos no layout oficial do MTE
tipo_vinculo,97,Contrato prazo indeterminado - lei estadual,conferir,Conferir rótulos no layout oficial do MTE
tipo_admissao,0,Não é admitido no ano,conferir,Conferir no layout oficial
tipo_admissao,1,Primeiro emprego,conferir,Conferir no layout oficial
tipo_admissao,2,Reemprego,conferir,Conferir no layout oficial
tipo_admissao,3,Transferência com ônus,conferir,Conferir no layout oficial
tipo_admissao,4,Transferência sem ônus,conferir,Conferir no layout oficial
tipo_admissao,5,Reintegração,conferir,Conferir no layout oficial
tipo_admissao,6,Recondução/reversão,conferir,Conferir no layout oficial
tipo_admissao,-1,Ignorado,conferir,Conferir no layout oficial
motivo_desligamento,0,Não desligado no ano,conferir,Lista INCOMPLETA. Rode 'pdet_banco.py codigos' para ver os codigos observados e complete pelo layout oficial
motivo_desligamento,10,Rescisão com justa causa por iniciativa do empregador,conferir,Lista INCOMPLETA. Rode 'pdet_banco.py codigos' para ver os codigos observados e complete pelo layout oficial
motivo_desligamento,11,Rescisão sem justa causa por iniciativa do empregador,conferir,Lista INCOMPLETA. Rode 'pdet_banco.py codigos' para ver os codigos observados e complete pelo layout oficial
motivo_desligamento,12,Término do contrato por prazo determinado,conferir,Lista INCOMPLETA. Rode 'pdet_banco.py codigos' para ver os codigos observados e complete pelo layout oficial
motivo_desligamento,20,Rescisão por iniciativa do empregado (com justa causa),conferir,Lista INCOMPLETA. Rode 'pdet_banco.py codigos' para ver os codigos observados e complete pelo layout oficial
motivo_desligamento,21,Rescisão por iniciativa do empregado (sem justa causa),conferir,Lista INCOMPLETA. Rode 'pdet_banco.py codigos' para ver os codigos observados e complete pelo layout oficial
vinculo_ativo_3112,true,Ativo em 31/12,alta,
vinculo_ativo_3112,false,Desligado durante o ano,alta,
tipo_defic,0,Não deficiente,conferir,Conferir no layout oficial
tipo_defic,1,Física,conferir,Conferir no layout oficial
tipo_defic,2,Auditiva,conferir,Conferir no layout oficial
tipo_defic,3,Visual,conferir,Conferir no layout oficial
tipo_defic,4,Mental,conferir,Conferir no layout oficial
tipo_defic,5,Múltipla,conferir,Conferir no layout oficial
tipo_defic,6,Reabilitado,conferir,Conferir no layout oficial
tipo_defic,-1,Ignorado,conferir,Conferir no layout oficial
nacionalidade,10,Brasileiro,conferir,Lista INCOMPLETA: demais codigos sao estrangeiros por pais de origem
nacionalidade,20,Naturalizado brasileiro,conferir,Lista INCOMPLETA: demais codigos sao estrangeiros por pais de origem
ind_atividade_ano,0,Sem atividade no ano,conferir,
ind_atividade_ano,1,Com atividade no ano,conferir,
ind_rais_negativa,0,RAIS com vínculos,conferir,
ind_rais_negativa,1,RAIS negativa,conferir,
